Z_i,A total  [Msun^{-1}],A I_classic  [Msun^{-1}],A II_only_stable_MT  [Msun^{-1}],A III_single_core_CE  [Msun^{-1}],A IV_double_core_CE  [Msun^{-1}],A V_other  [Msun^{-1}],B total  [Msun^{-1}],B I_classic  [Msun^{-1}],B II_only_stable_MT  [Msun^{-1}],B III_single_core_CE  [Msun^{-1}],B IV_double_core_CE  [Msun^{-1}],B V_other  [Msun^{-1}],C total  [Msun^{-1}],C I_classic  [Msun^{-1}],C II_only_stable_MT  [Msun^{-1}],C III_single_core_CE  [Msun^{-1}],C IV_double_core_CE  [Msun^{-1}],C V_other  [Msun^{-1}],D total  [Msun^{-1}],D I_classic  [Msun^{-1}],D II_only_stable_MT  [Msun^{-1}],D III_single_core_CE  [Msun^{-1}],D IV_double_core_CE  [Msun^{-1}],D V_other  [Msun^{-1}],E total  [Msun^{-1}],E I_classic  [Msun^{-1}],E II_only_stable_MT  [Msun^{-1}],E III_single_core_CE  [Msun^{-1}],E IV_double_core_CE  [Msun^{-1}],E V_other  [Msun^{-1}],F total  [Msun^{-1}],F I_classic  [Msun^{-1}],F II_only_stable_MT  [Msun^{-1}],F III_single_core_CE  [Msun^{-1}],F IV_double_core_CE  [Msun^{-1}],F V_other  [Msun^{-1}],G total  [Msun^{-1}],G I_classic  [Msun^{-1}],G II_only_stable_MT  [Msun^{-1}],G III_single_core_CE  [Msun^{-1}],G IV_double_core_CE  [Msun^{-1}],G V_other  [Msun^{-1}],H total  [Msun^{-1}],H I_classic  [Msun^{-1}],H II_only_stable_MT  [Msun^{-1}],H III_single_core_CE  [Msun^{-1}],H IV_double_core_CE  [Msun^{-1}],H V_other  [Msun^{-1}],I total  [Msun^{-1}],I I_classic  [Msun^{-1}],I II_only_stable_MT  [Msun^{-1}],I III_single_core_CE  [Msun^{-1}],I IV_double_core_CE  [Msun^{-1}],I V_other  [Msun^{-1}],J total  [Msun^{-1}],J I_classic  [Msun^{-1}],J II_only_stable_MT  [Msun^{-1}],J III_single_core_CE  [Msun^{-1}],J IV_double_core_CE  [Msun^{-1}],J V_other  [Msun^{-1}],K total  [Msun^{-1}],K I_classic  [Msun^{-1}],K II_only_stable_MT  [Msun^{-1}],K III_single_core_CE  [Msun^{-1}],K IV_double_core_CE  [Msun^{-1}],K V_other  [Msun^{-1}],L total  [Msun^{-1}],L I_classic  [Msun^{-1}],L II_only_stable_MT  [Msun^{-1}],L III_single_core_CE  [Msun^{-1}],L IV_double_core_CE  [Msun^{-1}],L V_other  [Msun^{-1}],M total  [Msun^{-1}],M I_classic  [Msun^{-1}],M II_only_stable_MT  [Msun^{-1}],M III_single_core_CE  [Msun^{-1}],M IV_double_core_CE  [Msun^{-1}],M V_other  [Msun^{-1}],N total  [Msun^{-1}],N I_classic  [Msun^{-1}],N II_only_stable_MT  [Msun^{-1}],N III_single_core_CE  [Msun^{-1}],N IV_double_core_CE  [Msun^{-1}],N V_other  [Msun^{-1}],O total  [Msun^{-1}],O I_classic  [Msun^{-1}],O II_only_stable_MT  [Msun^{-1}],O III_single_core_CE  [Msun^{-1}],O IV_double_core_CE  [Msun^{-1}],O V_other  [Msun^{-1}],P total  [Msun^{-1}],P I_classic  [Msun^{-1}],P II_only_stable_MT  [Msun^{-1}],P III_single_core_CE  [Msun^{-1}],P IV_double_core_CE  [Msun^{-1}],P V_other  [Msun^{-1}],Q total  [Msun^{-1}],Q I_classic  [Msun^{-1}],Q II_only_stable_MT  [Msun^{-1}],Q III_single_core_CE  [Msun^{-1}],Q IV_double_core_CE  [Msun^{-1}],Q V_other  [Msun^{-1}],R total  [Msun^{-1}],R I_classic  [Msun^{-1}],R II_only_stable_MT  [Msun^{-1}],R III_single_core_CE  [Msun^{-1}],R IV_double_core_CE  [Msun^{-1}],R V_other  [Msun^{-1}],S total  [Msun^{-1}],S I_classic  [Msun^{-1}],S II_only_stable_MT  [Msun^{-1}],S III_single_core_CE  [Msun^{-1}],S IV_double_core_CE  [Msun^{-1}],S V_other  [Msun^{-1}],T total  [Msun^{-1}],T I_classic  [Msun^{-1}],T II_only_stable_MT  [Msun^{-1}],T III_single_core_CE  [Msun^{-1}],T IV_double_core_CE  [Msun^{-1}],T V_other  [Msun^{-1}]
0_0003,2.2981903969859097e-06,1.0428454813060086e-06,0.0,0.0,1.2462561261343971e-06,9.088789545504291e-09,1.885524937163304e-06,1.8565600565497605e-06,0.0,0.0,0.0,2.8964880613543534e-08,9.088510346351471e-07,8.648111657689932e-07,0.0,0.0,0.0,4.403986886615392e-08,1.6329574328685288e-06,3.543654709950053e-07,0.0,0.0,1.2213540707313142e-06,5.723789114220924e-08,9.694652038014149e-09,9.694652038014149e-09,0.0,0.0,0.0,0.0,1.8568945415169624e-06,1.4414690590449959e-06,0.0,0.0,3.732193564970127e-07,4.2206125974953634e-08,1.3038831046561511e-06,1.3038831046561511e-06,0.0,0.0,0.0,0.0,6.351346770830473e-07,5.2325317355123e-07,0.0,0.0,7.257890055396054e-08,3.930260297785689e-08,1.3211216395699687e-05,3.141730536554388e-06,0.0,3.509007368582377e-07,9.68971710674217e-06,2.886801554489109e-08,1.3389352758804665e-05,3.81866795611073e-06,0.0,1.1510689519108783e-06,8.302219079600475e-06,1.1739677118258446e-07,2.3022847804489256e-06,1.04470338189542e-06,0.0,0.0,1.2484764167074578e-06,9.104981846047689e-09,2.084285395333592e-06,1.0364106694536137e-06,0.0,0.0,1.008762032288182e-06,3.9112693591796535e-08,2.120120041840268e-06,1.0081887027304198e-06,0.0,0.0,1.0825560056676009e-06,2.9375333442247284e-08,2.3623573131673056e-06,1.0302022203437375e-06,1.0196101263675558e-08,0.0,1.3129806225387765e-06,8.978369021116938e-09,2.303187896408902e-06,1.0976976141319164e-06,0.0,0.0,1.1963767309100623e-06,9.113551366923285e-09,3.053674357497415e-06,1.3199400301860396e-06,0.0,0.0,1.6469471644277303e-06,8.678716288364473e-08,6.908030663967528e-06,2.883691382773055e-06,0.0,0.0,1.6726939307838675e-06,2.3516453504106048e-06,2.5870863371114497e-06,1.3077875603330582e-06,0.0,0.0,1.2642453832215992e-06,1.5053393556793484e-08,2.442361334444234e-06,1.1853833465732449e-06,0.0,0.0,1.192702937310453e-06,6.427505056053584e-08,2.363217880568702e-06,1.1109007019330338e-06,0.0,0.0,1.2386512400207473e-06,1.366593861492082e-08
0_00034,2.4599411819439184e-06,1.1186166645889605e-06,0.0,0.0,1.3413245173549575e-06,0.0,1.954360394054739e-06,1.921829083087486e-06,0.0,0.0,0.0,3.253131096725299e-08,8.867520667463741e-07,8.070297095880331e-07,0.0,0.0,0.0,7.972235715834082e-08,1.8095880998066955e-06,3.144773249206809e-07,0.0,0.0,1.4605338149310909e-06,3.457695995492314e-08,1.4108069734080619e-08,1.0120984360528003e-08,0.0,0.0,3.987085373552613e-09,0.0,2.11248305894251e-06,1.8778128797077603e-06,0.0,0.0,2.346701792347505e-07,0.0,1.9920382602540443e-06,1.9920382602540443e-06,0.0,0.0,0.0,0.0,7.959835017224785e-07,7.257318911939969e-07,0.0,0.0,4.925392819526248e-08,2.099768233321938e-08,1.370993948849182e-05,2.9878634830036312e-06,0.0,4.1702929494869104e-07,1.0270040889634174e-05,3.500582090532554e-08,1.2614285675883307e-05,3.7695044267558433e-06,0.0,9.915813888071623e-07,7.742484825523124e-06,1.107150347971838e-07,2.4643237354993374e-06,1.1206095567265976e-06,0.0,0.0,1.34371417877274e-06,0.0,2.364127274400204e-06,1.1525936739771158e-06,0.0,0.0,1.1959100109630432e-06,1.562358946004553e-08,2.559224181836921e-06,1.2356662458764165e-06,0.0,0.0,1.3206488400953327e-06,2.909095865171473e-09,2.5372784932493848e-06,1.1051005765544957e-06,0.0,0.0,1.432177916694889e-06,0.0,2.65452170558107e-06,1.1987489845366221e-06,0.0,0.0,1.455772721044449e-06,0.0,3.6557493472801887e-06,1.4778952722253869e-06,0.0,0.0,2.082360287179686e-06,9.549378787511645e-08,7.022751897436071e-06,2.9950995759638195e-06,0.0,0.0,1.8744000058243146e-06,2.153252315647936e-06,2.6576443569207915e-06,1.241230421183091e-06,0.0,0.0,1.4164139357377002e-06,0.0,2.537430738535489e-06,1.1849363321709818e-06,0.0,0.0,1.3524944063645064e-06,0.0,2.7938862059013408e-06,1.3373788685515579e-06,0.0,0.0,1.4565073373497827e-06,0.0
0_00037,2.8520786249830916e-06,1.3109932887920866e-06,0.0,0.0,1.5326387125961026e-06,8.44662359490265e-09,1.7030673949560943e-06,1.7030673949560943e-06,0.0,0.0,0.0,0.0,1.0105149895076537e-06,9.90962623928336e-07,0.0,0.0,0.0,1.9552365579317708e-08,1.986884014337019e-06,4.11634940175986e-07,0.0,0.0,1.540322382308371e-06,3.49266918526621e-08,4.201883268147465e-08,4.201883268147465e-08,0.0,0.0,0.0,0.0,2.7879450426809075e-06,2.4584640951966977e-06,0.0,0.0,2.880271248875229e-07,4.145382259668717e-08,2.381484523896226e-06,2.381484523896226e-06,0.0,0.0,0.0,0.0,9.945518158368698e-07,8.139379187289627e-07,0.0,0.0,1.5262659124051144e-07,2.7987305867395784e-08,1.4600332041571717e-05,3.419684274046037e-06,0.0,4.1853758088655227e-07,1.0731592284640567e-05,3.0517901998556614e-08,1.1995399905761825e-05,3.496184298218495e-06,0.0,9.746968767487564e-07,7.398988038286822e-06,1.2553069250774989e-07,2.8610984944124867e-06,1.3133289130505445e-06,0.0,0.0,1.5353692133448053e-06,1.2400368017136836e-08,2.433138164654427e-06,1.1940527185078726e-06,0.0,0.0,1.2390854461465546e-06,0.0,2.6503696169733996e-06,1.207324051666233e-06,0.0,0.0,1.4292749034031556e-06,1.3770661904010725e-08,3.135011190188341e-06,1.3415737267808428e-06,1.8648672392553328e-08,0.0,1.7664584566611846e-06,8.33033435375976e-09,3.0087717832340734e-06,1.3735342998417816e-06,0.0,0.0,1.5980785517658669e-06,3.7158931626424013e-08,3.887864803037249e-06,1.6164905196838047e-06,0.0,0.0,2.1640512326669587e-06,1.0732305068648713e-07,6.9880063461804966e-06,3.1240846382103736e-06,0.0,0.0,2.126066787136693e-06,1.7378549208334286e-06,2.8756959497369575e-06,1.3546637296545919e-06,0.0,0.0,1.521032220082366e-06,0.0,2.7011492286995075e-06,1.1135138538671455e-06,0.0,0.0,1.5793006799008575e-06,8.334694931503771e-09,3.0319569872486197e-06,1.342503485330392e-06,0.0,0.0,1.6810931753511028e-06,8.360326567124871e-09
0_00042,2.8930641582298734e-06,1.0606502969435684e-06,0.0,0.0,1.8324138612863048e-06,0.0,1.6631821704347944e-06,1.6199685027071061e-06,0.0,0.0,0.0,4.32136677276879e-08,1.1937477300548136e-06,1.14188076934987e-06,0.0,0.0,0.0,5.186696070494383e-08,2.434616405982648e-06,6.172629194948884e-07,0.0,0.0,1.779974073818098e-06,3.73794126696612e-08,1.257662180723686e-08,0.0,0.0,0.0,1.257662180723686e-08,0.0,2.959897586262261e-06,2.58098393159618e-06,0.0,0.0,3.7891365466608094e-07,0.0,3.0748602299178454e-06,3.069049402792896e-06,0.0,0.0,5.810827124949312e-09,0.0,8.002657098777787e-07,6.986760619309724e-07,0.0,0.0,1.0158964794680627e-07,0.0,1.5136929689161615e-05,3.243505941967085e-06,0.0,5.480031025880779e-07,1.1330278285341373e-05,1.5142359265077048e-08,1.1601098979882355e-05,3.6380262497974417e-06,0.0,8.283060975582774e-07,7.073390502054477e-06,6.13761304721595e-08,2.8982183500072103e-06,1.0625399180304654e-06,0.0,0.0,1.835678431976745e-06,0.0,2.3831651126899587e-06,1.0505111778311184e-06,0.0,0.0,1.3326539348588405e-06,0.0,2.59875938709078e-06,1.1086110895056286e-06,0.0,0.0,1.4458453545974055e-06,4.4302942987745016e-08,2.922094343115728e-06,1.040816708452778e-06,0.0,0.0,1.88127763466295e-06,0.0,2.9164975754858807e-06,1.1055072692033862e-06,0.0,0.0,1.8109903062824943e-06,0.0,3.943113006849805e-06,1.334193026211346e-06,0.0,0.0,2.5236627095646853e-06,8.525727107377317e-08,6.868918858199747e-06,3.0513191629545534e-06,0.0,0.0,2.3878597104299097e-06,1.429739984815286e-06,2.7657296904479406e-06,1.0584182873271617e-06,0.0,0.0,1.7073114031207785e-06,0.0,2.949268003334186e-06,1.192286087858604e-06,0.0,0.0,1.7521615459197915e-06,4.820369555791578e-09,3.0695294579401198e-06,1.2711161689668764e-06,0.0,0.0,1.798413288973243e-06,0.0
0_00047,2.9519331185668244e-06,1.031464995621309e-06,0.0,0.0,1.8851171028647026e-06,3.535102008081263e-08,1.5694210698742232e-06,1.5060038738228163e-06,0.0,0.0,0.0,6.341719605140697e-08,1.2277808281016175e-06,1.111460742810781e-06,0.0,0.0,0.0,1.1632008529083664e-07,2.618036800795191e-06,5.171716891371261e-07,0.0,0.0,1.9894525331719107e-06,1.1141257848615494e-07,6.515932723848123e-08,4.103797831021353e-08,0.0,0.0,2.4121348928267698e-08,0.0,2.6783454700017557e-06,2.3365680723321047e-06,0.0,0.0,2.9831510282367237e-07,4.346229484597861e-08,3.5148230387877327e-06,3.5148230387877327e-06,0.0,0.0,0.0,0.0,1.0020817468123323e-06,7.755091281264996e-07,0.0,0.0,1.8567942247757163e-07,4.0893196208261285e-08,1.5397490530593258e-05,2.9397192079855363e-06,0.0,6.004229674475799e-07,1.17768007522879e-05,8.054760287224458e-08,1.10695948557912e-05,3.627357028851832e-06,0.0,7.623471654878082e-07,6.6009994651768826e-06,7.889119627467537e-08,2.96124372806812e-06,1.0333026210966789e-06,0.0,0.0,1.8884755679866267e-06,3.9465538984814075e-08,2.41304482666198e-06,8.409843793418083e-07,0.0,0.0,1.495989739745167e-06,7.607070757500391e-08,2.4397775542886447e-06,8.288100263858461e-07,0.0,0.0,1.5834456041000498e-06,2.7521923802749038e-08,3.0002361064510836e-06,9.43475545160944e-07,2.677158107567655e-08,0.0,1.9950717729694324e-06,3.4917207245030535e-08,2.996451295913565e-06,1.0966180364860553e-06,0.0,0.0,1.8493351035629241e-06,5.049815586458745e-08,4.1738171195471355e-06,1.263927165643777e-06,0.0,0.0,2.709187490296905e-06,2.007024636064532e-07,6.543688621845355e-06,2.525577451090051e-06,0.0,0.0,2.62728290376054e-06,1.3908282669947652e-06,3.086952205559696e-06,1.0164256211384242e-06,0.0,0.0,2.020914525104767e-06,4.9612059316504565e-08,3.066482488928665e-06,1.0737016768041078e-06,0.0,0.0,1.9391190755602814e-06,5.366173656427661e-08,3.037929493855116e-06,1.012707581952358e-06,0.0,0.0,1.937188310006838e-06,8.803360189591963e-08
0_00052,2.966593368409051e-06,9.610512517000449e-07,0.0,0.0,2.001224424049621e-06,4.3176926593859214e-09,1.5144644223296732e-06,1.4211071982581717e-06,0.0,0.0,0.0,9.335722407150153e-08,1.0596838128060282e-06,1.0596838128060282e-06,0.0,0.0,0.0,0.0,2.552601743145436e-06,5.970794001742804e-07,0.0,0.0,1.955522342971155e-06,0.0,1.0216601353369286e-08,1.0216601353369286e-08,0.0,0.0,0.0,0.0,2.966321283772152e-06,2.3417350606733773e-06,0.0,0.0,6.245862230987742e-07,0.0,3.881084605383944e-06,3.868036140396728e-06,0.0,0.0,7.2737540774078145e-09,5.774710909808486e-09,9.657738748376601e-07,7.78458892603685e-07,0.0,0.0,1.873149822339752e-07,0.0,1.5545613907924436e-05,2.916307927576112e-06,0.0,6.281744181088386e-07,1.1934333053545925e-05,6.679850869356228e-08,1.0713096811648e-05,3.5613715818015245e-06,0.0,7.728972678512553e-07,6.289256533413455e-06,8.957142858176461e-08,2.977731198799075e-06,9.62763430272034e-07,0.0,0.0,2.004789742309743e-06,1.0178026217297788e-08,2.513497398405984e-06,9.311062286837521e-07,0.0,0.0,1.5823911697222325e-06,0.0,2.7203283758494404e-06,9.2407492445187e-07,0.0,0.0,1.750062758467136e-06,4.619069293043383e-08,3.082490869701405e-06,9.659408039412351e-07,4.4740627971630065e-08,0.0,2.0718094377885394e-06,0.0,2.9983779517878225e-06,9.818652777832298e-07,0.0,0.0,2.01219369641168e-06,4.318977592913247e-09,4.364099448772641e-06,1.1664247422647672e-06,0.0,0.0,3.1255733924952155e-06,7.210131401265838e-08,6.5691774877418136e-06,2.162436057627338e-06,0.0,0.0,3.000818680934791e-06,1.4059227491796845e-06,2.7945084341704133e-06,8.51568361948404e-07,0.0,3.3657083045996518e-09,1.93957436391741e-06,0.0,2.7996342018909983e-06,8.551295698394565e-07,0.0,0.0,1.9381730471005908e-06,6.331584950950685e-09,2.9129931468892e-06,8.14166630553138e-07,0.0,0.0,2.098826516336061e-06,0.0
0_00058,3.0223539366073237e-06,7.661216441913451e-07,0.0,0.0,2.179720695248886e-06,7.651159716709338e-08,1.254972012645244e-06,1.1328216029985792e-06,0.0,0.0,0.0,1.2215040964666494e-07,1.311981116990386e-06,1.2427703802063964e-06,0.0,0.0,0.0,6.921073678398932e-08,2.5633122320198604e-06,3.43871131641643e-07,0.0,0.0,2.114429821713196e-06,1.0501127866502183e-07,9.15474379060752e-08,8.628129108396717e-08,0.0,0.0,5.266146822108016e-09,0.0,2.223999886287145e-06,1.964298104324913e-06,0.0,0.0,2.597017819622322e-07,0.0,4.152612091123923e-06,4.152612091123923e-06,0.0,0.0,0.0,0.0,1.0114642155761455e-06,7.495099135146866e-07,0.0,0.0,2.0574800697183964e-07,5.620629508961947e-08,1.5924468646751714e-05,2.7632738102042717e-06,0.0,6.645571725181496e-07,1.2433371123432873e-05,6.326654059641758e-08,1.0168602789829646e-05,3.595179506896325e-06,0.0,4.975618134405165e-07,6.0011599103837625e-06,7.470155910904553e-08,3.0308810663055233e-06,7.674865423280482e-07,0.0,0.0,2.183604016831086e-06,7.97905071463894e-08,2.3928704909537137e-06,6.414508350998508e-07,0.0,0.0,1.6739745025328502e-06,7.744515332101227e-08,2.566009043153593e-06,6.761366309891772e-07,0.0,0.0,1.8376868384134445e-06,5.218557375097073e-08,3.0009196631069724e-06,6.861559779720065e-07,2.2925451546846863e-08,0.0,2.244556490395791e-06,4.728174319232804e-08,2.8385811488144226e-06,6.710882676947765e-07,0.0,0.0,2.094205122464473e-06,7.328775865517379e-08,4.354709601265734e-06,9.85678611263073e-07,0.0,0.0,3.1742965082509978e-06,1.947344817516637e-07,6.3430304004042255e-06,1.929515068056488e-06,0.0,0.0,3.1412172799127426e-06,1.272298052434995e-06,2.990310660656435e-06,7.306021260157073e-07,0.0,0.0,2.175195422205679e-06,8.451311243504878e-08,3.069378063229876e-06,8.802009093544159e-07,0.0,0.0,2.112436375440181e-06,7.674077843527839e-08,2.91704941294123e-06,6.655843379101117e-07,0.0,0.0,2.212106864635732e-06,3.9358210395386974e-08
0_00065,3.0876251325281238e-06,7.966410789418209e-07,0.0,0.0,2.2280020343438387e-06,6.298201924246541e-08,1.2648261696867208e-06,1.167621267382049e-06,0.0,0.0,0.0,9.720490230467199e-08,1.1648954059992994e-06,1.0932551649012202e-06,0.0,0.0,0.0,7.164024109807911e-08,2.9738862451546187e-06,5.755435917118817e-07,0.0,0.0,2.274517465040676e-06,1.2382518840206153e-07,7.103150413857393e-08,7.103150413857393e-08,0.0,0.0,0.0,0.0,2.214442999415865e-06,1.850757189093987e-06,0.0,0.0,3.6368581032187855e-07,0.0,4.3850983605913736e-06,4.353926910290537e-06,0.0,0.0,3.117145030083744e-08,0.0,6.995197640304959e-07,5.747080956686365e-07,0.0,0.0,1.2481166836185947e-07,0.0,1.5703206966665166e-05,2.676658075962416e-06,0.0,5.530373970650525e-07,1.2408870201840945e-05,6.464129179675469e-08,9.687204759331014e-06,3.3999488414778124e-06,0.0,5.223993424364189e-07,5.691203786853076e-06,7.365278856370653e-08,3.0979369662195036e-06,7.980603495400516e-07,0.0,0.0,2.2334689917200637e-06,6.640762495938805e-08,2.4718899892883567e-06,6.10370848295531e-07,0.0,0.0,1.7741749754129485e-06,8.734416557987695e-08,2.4383610256454186e-06,5.852692655721301e-07,0.0,0.0,1.7999800588823788e-06,5.311170119090995e-08,3.087452511974816e-06,6.844327321522828e-07,0.0,0.0,2.3419147176402285e-06,6.110506218230431e-08,2.9327882372609413e-06,6.821978125003268e-07,0.0,0.0,2.20225531193307e-06,4.833511282754458e-08,4.422131953122658e-06,9.317298129285231e-07,0.0,0.0,3.2984174620786064e-06,1.919846781155279e-07,6.519635618691215e-06,1.8891116001459599e-06,0.0,0.0,3.3883252316234416e-06,1.2421987869218132e-06,2.9801889853064163e-06,6.918900253148281e-07,0.0,0.0,2.2090435318846933e-06,7.925542810689504e-08,2.8475871420673745e-06,6.725861372030959e-07,0.0,0.0,2.132470768576553e-06,4.253023628772618e-08,3.141033803656645e-06,7.753926407485727e-07,0.0,0.0,2.2913456763726658e-06,7.429548653540634e-08
0_00073,3.1537092076234574e-06,8.121197976263566e-07,0.0,0.0,2.3415894099971007e-06,0.0,1.1263148347023506e-06,1.0420668083519314e-06,0.0,0.0,0.0,8.424802635041943e-08,1.0827575664777675e-06,1.019911812335898e-06,0.0,0.0,0.0,6.284575414186947e-08,2.633547242473513e-06,3.2840358811034277e-07,0.0,1.3091807734008422e-09,2.238045583880403e-06,6.578888970936671e-08,8.275451414326363e-08,8.275451414326363e-08,0.0,0.0,0.0,0.0,2.190655355742457e-06,1.7484402076722324e-06,0.0,0.0,4.422151480702241e-07,0.0,4.397989962902374e-06,4.397989962902374e-06,0.0,0.0,0.0,0.0,9.577938885059415e-07,7.128646599670195e-07,0.0,0.0,1.433971067546674e-07,1.0153212178425486e-07,1.541219727009059e-05,2.753168896365873e-06,0.0,4.679486309447526e-07,1.2122945331114266e-05,6.813441166569753e-08,9.561943579310868e-06,3.458925352044281e-06,0.0,5.248561677671083e-07,5.514412544801519e-06,6.374951469795783e-08,3.1688428681438843e-06,8.135666446211702e-07,0.0,0.0,2.345761111771697e-06,9.515111751017399e-09,2.1002706242608813e-06,4.63564418977149e-07,0.0,0.0,1.6367062052837318e-06,0.0,2.7059163554275487e-06,6.58898264907876e-07,0.0,0.0,1.9918279009882902e-06,5.51901895313815e-08,3.1127019963149153e-06,7.065116042135763e-07,1.6185668885988304e-08,0.0,2.3900047232153512e-06,0.0,3.1085722228088093e-06,7.999851341271673e-07,0.0,0.0,2.3085870886816413e-06,0.0,4.1552621692021725e-06,6.865453993085774e-07,0.0,0.0,3.343130209466518e-06,1.2558656042707654e-07,6.245005739454947e-06,1.758171262070298e-06,0.0,0.0,3.2237732546916893e-06,1.2630612226929612e-06,2.918743529134464e-06,6.329821259479129e-07,0.0,0.0,2.28576140318655e-06,0.0,2.9019809696377788e-06,6.743651332028434e-07,0.0,0.0,2.2193187066990812e-06,8.29712973585355e-09,3.0238393340365426e-06,7.01576859791228e-07,0.0,0.0,2.3222624742453154e-06,0.0
0_00081,2.8469260954038366e-06,6.211234323780531e-07,0.0,0.0,2.1409449408425387e-06,8.485772218324466e-08,1.0652417235733782e-06,1.0276005416632262e-06,0.0,0.0,0.0,3.764118191015176e-08,1.2582186608455549e-06,1.1604721797198193e-06,0.0,0.0,0.0,9.774648112573596e-08,2.663927106457316e-06,3.624654386971165e-07,0.0,0.0,2.197155205408234e-06,1.043064623519652e-07,6.941798013601442e-08,6.941798013601442e-08,0.0,0.0,0.0,0.0,2.2749243794589094e-06,1.910768374879029e-06,0.0,0.0,3.641560045798794e-07,0.0,4.179668226031297e-06,4.179668226031297e-06,0.0,0.0,0.0,0.0,9.38678128163955e-07,7.688414881218459e-07,0.0,0.0,1.0275901927035037e-07,6.707762077175857e-08,1.5202013684902118e-05,2.4170795137523315e-06,0.0,5.199238252615151e-07,1.2179863011215167e-05,8.514733467310334e-08,9.063763720550728e-06,3.1849941729082383e-06,0.0,4.5395725389409924e-07,5.359471162615707e-06,6.53411311326828e-08,2.856900097256186e-06,6.222300062778291e-07,0.0,0.0,2.1447591807647445e-06,8.991091021361216e-08,2.136158664289329e-06,4.3654435927963713e-07,0.0,0.0,1.6368945905525859e-06,6.271971445710598e-08,2.4319901562315213e-06,4.622966779194108e-07,0.0,0.0,1.8772247911072842e-06,9.246868720482667e-08,3.002990014576351e-06,6.192225666993779e-07,6.064548334178923e-09,0.0,2.293914871661664e-06,8.378802788113051e-08,2.7054084698432832e-06,5.163256797580859e-07,0.0,0.0,2.136921034702787e-06,5.2161755382410096e-08,4.117903195982556e-06,6.366217579881061e-07,0.0,0.0,3.2692107300182673e-06,2.1207070797618185e-07,6.3865695340140775e-06,1.77229899804153e-06,0.0,0.0,3.269192119721132e-06,1.3450784162514164e-06,2.95700812896664e-06,6.669663710053266e-07,0.0,0.0,2.25669743760995e-06,3.334432035136239e-08,2.7860392057500514e-06,5.703653162550442e-07,0.0,0.0,2.19459703498302e-06,2.107685451198783e-08,3.1280433662578567e-06,6.568301091071218e-07,0.0,0.0,2.402783549051566e-06,6.842970809916838e-08
0_0009,2.82457603474972e-06,7.608370541237998e-07,0.0,0.0,2.0637389806259207e-06,0.0,1.2196609704194116e-06,1.1300852491365124e-06,0.0,0.0,0.0,8.957572128289846e-08,1.175981764739189e-06,1.0608079399909536e-06,0.0,0.0,0.0,1.1517382474823547e-07,2.6138146700815874e-06,4.804351199567992e-07,0.0,0.0,2.133379550124788e-06,0.0,6.914330615568121e-09,0.0,0.0,0.0,6.914330615568121e-09,0.0,2.6821922106987702e-06,2.3382698509385902e-06,0.0,0.0,3.4392235976018e-07,0.0,3.8863889779674725e-06,3.879693175049012e-06,0.0,0.0,6.695802918460122e-09,0.0,9.918407243699705e-07,8.836027662604358e-07,0.0,0.0,1.0823795810953445e-07,0.0,1.4877017402005716e-05,2.4343742759602507e-06,0.0,5.285305208309722e-07,1.18683437918821e-05,4.5768813332390824e-08,8.934556469029352e-06,3.2732071915569693e-06,0.0,3.735742855881351e-07,5.227709223676689e-06,6.006576820755764e-08,2.8409144073564387e-06,7.621925374016605e-07,0.0,0.0,2.0674156728466073e-06,1.1306197108171155e-08,2.2491021035896907e-06,5.444684065071814e-07,0.0,0.0,1.7046336970825096e-06,0.0,2.2862593119463187e-06,5.385023308581654e-07,0.0,0.0,1.6708567440980699e-06,7.690023699008371e-08,3.197163624155196e-06,8.707785736986324e-07,7.254836566715851e-09,3.997843043474192e-09,2.315132370846374e-06,0.0,2.805042119139783e-06,7.119131125593871e-07,0.0,0.0,2.0931290065803958e-06,0.0,4.0824604320864735e-06,8.671095796157551e-07,0.0,0.0,3.081562094109298e-06,1.3378875836142073e-07,6.9898003602787475e-06,2.3921889606806747e-06,0.0,0.0,3.029923003394611e-06,1.5676883962034618e-06,2.719837718270804e-06,6.552233643208047e-07,0.0,0.0,2.06068689632757e-06,3.927457622429923e-09,2.8329591946099656e-06,7.712750677003566e-07,0.0,0.0,2.058804076608209e-06,2.880050301399888e-09,3.0284982476662486e-06,8.141993358258934e-07,0.0,0.0,2.214298911840356e-06,0.0
